stage,runs,total_seconds,average_seconds,min_seconds,max_seconds
inventory,1,0.0037534000002779067,0.0037534000002779067,0.0037534000002779067,0.0037534000002779067
renderer,1,0.08563859999412671,0.08563859999412671,0.08563859999412671,0.08563859999412671
segmentation,1,0.029345399991143495,0.029345399991143495,0.029345399991143495,0.029345399991143495
cleaner,1,0.0029832000145688653,0.0029832000145688653,0.0029832000145688653,0.0029832000145688653
recognizer,1,0.012894699990283698,0.012894699990283698,0.012894699990283698,0.012894699990283698
metadata,1,0.003464599954895675,0.003464599954895675,0.003464599954895675,0.003464599954895675
